,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,ARAI_Certified_Mileage,Kerb_Weight,Gears,Ground_Clearance,Seating_Capacity,Compression_Ratio,Turbocharger,max_power,max_power_rpm,max_torque,max_torque_rpm
729,Maruti Suzuki,Ciaz,1.3L Sigma Smart Hybrid,919689,1248.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,28.09,1105.0,5,170.0,5.0,,False,66.3673,4000.0,200.0,1750.0
730,Maruti Suzuki,Ciaz,1.3L Delta Smart Hybrid,980689,1248.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,28.09,1105.0,5,170.0,5.0,,False,66.3673,4000.0,200.0,1750.0
731,Maruti Suzuki,Ciaz,1.3L Zeta Smart Hybrid,1062689,1248.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,28.09,1105.0,5,170.0,5.0,,True,66.3673,4000.0,200.0,1750.0
732,Maruti Suzuki,Ciaz,1.5L Sigma Smart Hybrid,819689,1462.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,43.0,Petrol,21.56,1010.0,5,170.0,5.0,,False,76.8071,6000.0,138.0,4400.0
733,Maruti Suzuki,Ciaz,1.5L Delta Smart Hybrid,881689,1462.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,43.0,Petrol,21.56,1010.0,5,170.0,5.0,,False,76.8071,6000.0,138.0,4400.0
734,Maruti Suzuki,Ciaz,1.5L Zeta Smart Hybrid,958689,1462.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,43.0,Petrol,21.56,1010.0,5,170.0,5.0,,False,76.8071,6000.0,138.0,4400.0
735,Maruti Suzuki,Ciaz,1.5L Alpha Smart Hybrid,997689,1462.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,43.0,Petrol,21.56,1010.0,5,170.0,5.0,,False,76.8071,6000.0,138.0,4400.0
736,Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,980689,1462.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,43.0,Petrol,20.28,1010.0,4,170.0,5.0,,False,76.8071,6000.0,138.0,4400.0
737,Maruti Suzuki,Ciaz,1.5L Zeta At Smart Hybrid,1058688,1462.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,43.0,Petrol,20.28,1010.0,4,170.0,5.0,,False,76.8071,6000.0,138.0,4400.0
738,Maruti Suzuki,Ciaz,1.5L Alpha At Smart Hybrid,1098689,1462.0,4.0,4.0,FWD (Front Wheel Drive),BS 6,"Front, Transverse",Injection,43.0,Petrol,20.28,1010.0,4,170.0,5.0,,False,76.8071,6000.0,138.0,4400.0
739,Maruti Suzuki,Ciaz,1.5L Alpha,1138189,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,26.82,1105.0,6,170.0,5.0,,True,70.0958,4000.0,225.0,1875.0
740,Maruti Suzuki,Ciaz,1.5L Delta,997689,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,26.32,1105.0,6,170.0,5.0,,False,70.0958,4000.0,225.0,1875.0
741,Maruti Suzuki,Ciaz,1.5L Zeta,1109189,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,43.0,Diesel,26.32,1105.0,6,170.0,5.0,,True,70.0958,4000.0,225.0,1875.0
742,Skoda,Rapid,1.6 Mpi Ambition,998599,1598.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.41,1137.0,5,163.0,5.0,,False,77.227395,5250.0,153.0,3775.0
743,Skoda,Rapid,1.5 Tdi Cr Active,1006139,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Diesel,21.13,1210.0,5,163.0,5.0,,True,80.90489,4000.0,250.0,2000.0
744,Skoda,Rapid,1.6 Mpi Active,881916,1598.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.41,1137.0,5,163.0,5.0,,False,77.227395,5250.0,153.0,3775.0
745,Skoda,Rapid,1.5 Tdi Cr Ambition,1129599,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Diesel,21.13,1210.0,5,163.0,5.0,,True,80.90489,4000.0,250.0,2000.0
746,Skoda,Rapid,1.5 Tdi Cr Ambition At,1249599,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Diesel,21.72,1228.0,7,163.0,5.0,,True,80.90489,4000.0,250.0,2000.0
747,Skoda,Rapid,1.6 Mpi Style At,1243599,1598.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,14.84,1187.0,7,163.0,5.0,,False,77.227395,5250.0,153.0,3775.0
748,Skoda,Rapid,1.5 Tdi Cr Style At,1399599,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Diesel,21.72,1228.0,5,163.0,5.0,,True,80.90489,4000.0,250.0,2000.0
749,Skoda,Rapid,1.5 Tdi Cr Style,1273599,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Diesel,21.13,1210.0,5,163.0,5.0,,True,80.90489,4000.0,250.0,2000.0
750,Skoda,Rapid,1.6 Mpi Style,1115599,1598.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.41,1137.0,5,163.0,5.0,,False,77.227395,5250.0,153.0,3775.0
751,Skoda,Rapid,1.6 Mpi Ambition At,999599,1598.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,14.84,1187.0,5,163.0,5.0,,False,77.227395,5250.0,153.0,3775.0
752,Skoda,Rapid,Onyx Mt Petrol,975599,1598.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.41,1137.0,5,163.0,5.0,,False,77.227395,5250.0,153.0,3775.0
753,Skoda,Rapid,Onyx At Petrol,1099599,1598.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,14.84,1187.0,7,163.0,5.0,,False,77.227395,5250.0,153.0,3775.0
754,Skoda,Rapid,Onyx Mt Diesel,1158599,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Diesel,21.13,1210.0,5,163.0,5.0,,True,80.90489,4000.0,250.0,2000.0
755,Skoda,Rapid,Onyx At Diesel,1273599,1498.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Diesel,21.72,1228.0,5,163.0,5.0,,True,80.90489,4000.0,250.0,2000.0
756,Hyundai,Creta,1.6 Vtvt Sx,1232534,1591.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.29,1180.0,6,190.0,5.0,,False,90.46637700000001,6400.0,151.0,4850.0
757,Hyundai,Creta,1.6 Vtvt Sx (O),1394437,1591.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.29,1180.0,6,190.0,5.0,,False,90.46637700000001,6400.0,151.0,4850.0
758,Hyundai,Creta,1.6 Vtvt Sx At,1377363,1591.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.29,1180.0,6,190.0,5.0,,False,90.46637700000001,6400.0,151.0,4850.0
759,Hyundai,Creta,1.6 Vtvt Sx Dual Tone,1287041,1591.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.29,1180.0,6,190.0,5.0,,False,90.46637700000001,6400.0,151.0,4850.0
760,Hyundai,Creta,1.6 Vtvt Sx (O) Executive,1422937,1591.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.29,1180.0,6,190.0,5.0,,False,90.22970000000001,6400.0,151.0,4850.0
761,Hyundai,Creta,Sports Edition Petrol,1279983,1591.0,4.0,4.0,FWD (Front Wheel Drive),BS IV,"Front, Transverse",Injection,55.0,Petrol,15.29,1180.0,6,190.0,5.0,,False,90.46637700000001,6400.0,151.0,4850.0
